| Epoch: 3800 | Train Accuracy: 1.0 | Train Loss: 0.0040087709203362465 | Test Accuracy: 0.2324644774198532 | Test Loss: 9.285614967346191 |
| Epoch: 3900 | Train Accuracy: 1.0 | Train Loss: 0.0037881736643612385 | Test Accuracy: 0.23347130417823792 | Test Loss: 9.281508445739746 |
| Epoch: 4000 | Train Accuracy: 1.0 | Train Loss: 0.0035815665032714605 | Test Accuracy: 0.23358318209648132 | Test Loss: 9.274725914001465 |
| Epoch: 4100 | Train Accuracy: 1.0 | Train Loss: 0.0033848201856017113 | Test Accuracy: 0.23358318209648132 | Test Loss: 9.263248443603516 |
| Epoch: 4200 | Train Accuracy: 1.0 | Train Loss: 0.0032023608218878508 | Test Accuracy: 0.234254390001297 | Test Loss: 9.241106986999512 |
| Epoch: 4300 | Train Accuracy: 1.0 | Train Loss: 0.0030299213249236345 | Test Accuracy: 0.23503747582435608 | Test Loss: 9.220178604125977 |
| Epoch: 4400 | Train Accuracy: 1.0 | Train Loss: 0.00286866445094347 | Test Accuracy: 0.23481373488903046 | Test Loss: 9.19797134399414 |
| Epoch: 4500 | Train Accuracy: 1.0 | Train Loss: 0.0027145901694893837 | Test Accuracy: 0.23649178445339203 | Test Loss: 9.174263000488281 |
| Epoch: 4600 | Train Accuracy: 1.0 | Train Loss: 0.002568054711446166 | Test Accuracy: 0.2372748702764511 | Test Loss: 9.14234447479248 |
| Epoch: 4700 | Train Accuracy: 1.0 | Train Loss: 0.0024307318963110447 | Test Accuracy: 0.23940038681030273 | Test Loss: 9.105552673339844 |
| Epoch: 4800 | Train Accuracy: 1.0 | Train Loss: 0.00229955674149096 | Test Accuracy: 0.23973599076271057 | Test Loss: 9.062906265258789 |
| Epoch: 4900 | Train Accuracy: 1.0 | Train Loss: 0.0021759390365332365 | Test Accuracy: 0.2399597316980362 | Test Loss: 9.01161003112793 |
| Epoch: 5000 | Train Accuracy: 1.0 | Train Loss: 0.0020597665570676327 | Test Accuracy: 0.2419733703136444 | Test Loss: 8.953553199768066 |
| Epoch: 5100 | Train Accuracy: 1.0 | Train Loss: 0.0019495541928336024 | Test Accuracy: 0.2429801970720291 | Test Loss: 8.887818336486816 |
| Epoch: 5200 | Train Accuracy: 1.0 | Train Loss: 0.0018451946089044213 | Test Accuracy: 0.24544131755828857 | Test Loss: 8.816800117492676 |
| Epoch: 5300 | Train Accuracy: 1.0 | Train Loss: 0.0017455915221944451 | Test Accuracy: 0.24801431596279144 | Test Loss: 8.735428810119629 |
| Epoch: 5400 | Train Accuracy: 1.0 | Train Loss: 0.001653724699281156 | Test Accuracy: 0.24812619388103485 | Test Loss: 8.651360511779785 |
| Epoch: 5500 | Train Accuracy: 1.0 | Train Loss: 0.001566857099533081 | Test Accuracy: 0.24913300573825836 | Test Loss: 8.563931465148926 |
| Epoch: 5600 | Train Accuracy: 1.0 | Train Loss: 0.0014836759073659778 | Test Accuracy: 0.25092291831970215 | Test Loss: 8.479179382324219 |
| Epoch: 5700 | Train Accuracy: 1.0 | Train Loss: 0.0014061912661418319 | Test Accuracy: 0.25293657183647156 | Test Loss: 8.398292541503906 |
| Epoch: 5800 | Train Accuracy: 1.0 | Train Loss: 0.0013323414605110884 | Test Accuracy: 0.2540552616119385 | Test Loss: 8.32070255279541 |
| Epoch: 5900 | Train Accuracy: 1.0 | Train Loss: 0.0012626653769984841 | Test Accuracy: 0.25562143325805664 | Test Loss: 8.243514060974121 |
| Epoch: 6000 | Train Accuracy: 1.0 | Train Loss: 0.0011966623133048415 | Test Accuracy: 0.2580825686454773 | Test Loss: 8.171107292175293 |
